EXTERNAL	-119	10	0	1.00	EXTERNAL_1.00
PTV	11	30	19	1.02	PTV_1.02
LUNGS	-949	-120	-719	0.26	LUNGS_0.26
HEART	31	70	48	1.05	HEART_1.05
SKIN	71	200	112	1.09	SKIN_1.09
RIBS	201	2300	1582	1.92	RIBS_1.92
AIR	-1000	-950	-992	0.0012	AIR_0.0012
